Journal_Name,Index_Category
GENERAL HOSPITAL PSYCHIATRY,SSCI/SCIE/SCI
GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL,SCIE/SCI/AHCI
Geriatric Nursing,SSCI/SCIE/SCI
Geriatrics & Gerontology International,SSCI/SCIE/SCI
German History,SSCI/SCI/AHCI
GERMAN STUDIES REVIEW,SSCI/SCI/AHCI
Gesture,SSCI/SCI/AHCI
Global Health Action,SSCI/SCIE/SCI
Global Health-Science and Practice,SSCI/SCIE/SCI
Globalization and Health,SSCI/SCIE/SCI
Glossa-A Journal of General Linguistics,SSCI/SCI/AHCI
HAHR-Hispanic American Historical Review,SSCI/SCI/AHCI
HARVARD REVIEW OF PSYCHIATRY,SSCI/SCIE/SCI
HASTINGS CENTER REPORT,SSCI/SCIE/SCI
HEALTH AFFAIRS,SSCI/SCIE/SCI
Health and Quality of Life Outcomes,SSCI/SCIE/SCI
Healthcare,SSCI/SCIE/SCI
HEALTH ECONOMICS,SSCI/SCIE/SCI
HEALTH EXPECTATIONS,SSCI/SCIE/SCI
Health Information Management Journal,SSCI/SCIE/SCI
HEALTH & PLACE,SSCI/SCIE/SCI
HEALTH POLICY,SSCI/SCIE/SCI
HEALTH POLICY AND PLANNING,SSCI/SCIE/SCI
HEALTH PROMOTION INTERNATIONAL,SSCI/SCIE/SCI
HEALTH PSYCHOLOGY,SSCI/SCIE/SCI
Health Reports,SSCI/SCIE/SCI
HEALTH SERVICES RESEARCH,SSCI/SCIE/SCI
HISPANIA-A JOURNAL DEVOTED TO THE TEACHING OF SPANISH AND PORTUGUESE,SSCI/SCI/AHCI
Historia Agraria,SSCI/SCI/AHCI
Historia Critica,SSCI/SCI/AHCI
HISTORIA MATHEMATICA,SSCI/SCIE/SCI/AHCI
Historia y Politica,SSCI/SCI/AHCI
HISTORICAL JOURNAL,SSCI/SCI/AHCI
Historical Materialism-Research in Critical Marxist Theory,SSCI/SCI/AHCI
HISTORICAL METHODS,SSCI/SCI/AHCI
Historical Records of Australian Science,SCIE/SCI/AHCI
Historical Studies in the Natural Sciences,SSCI/SCIE/SCI/AHCI
HISTORIOGRAPHIA LINGUISTICA,SSCI/SCI/AHCI
History and Anthropology,SSCI/SCI/AHCI
HISTORY AND PHILOSOPHY OF LOGIC,SCIE/SCI/AHCI
HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES,SSCI/SCIE/SCI/AHCI
HISTORY AND THEORY,SSCI/SCI/AHCI
History of Geo- and Space Sciences,SSCI/SCIE/SCI
HISTORY OF SCIENCE,SSCI/SCIE/SCI/AHCI
HISTORY OF THE HUMAN SCIENCES,SSCI/SCIE/SCI/AHCI
HISTORY WORKSHOP JOURNAL,SSCI/SCI/AHCI
Holistic Nursing Practice,SSCI/SCIE/SCI
HUMAN FACTORS,SSCI/SCIE/SCI
Human Factors and Ergonomics in Manufacturing & Service Industries,SSCI/SCIE/SCI
Humanities & Social Sciences Communications,SSCI/SCI/AHCI
HUMAN MOVEMENT SCIENCE,SSCI/SCIE/SCI
HUMOR-INTERNATIONAL JOURNAL OF HUMOR RESEARCH,SSCI/SCI/AHCI
Hypatia-A Journal of Feminist Philosophy,SSCI/SCI/AHCI
Iberica,SSCI/SCI/AHCI
IDENTITIES-GLOBAL STUDIES IN CULTURE AND POWER,SSCI/SCI/AHCI
IEEE ANNALS OF THE HISTORY OF COMPUTING,SCIE/SCI/AHCI
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,SSCI/SCIE/SCI
IEEE Transactions on Learning Technologies,SSCI/SCIE/SCI
Imago Mundi-The International Journal for the History of Cartography,SSCI/SCI/AHCI
IMA Journal of Management Mathematics,SSCI/SCIE/SCI
Implementation Science,SSCI/SCIE/SCI
INDIAN ECONOMIC AND SOCIAL HISTORY REVIEW,SSCI/SCI/AHCI
Indian Journal of Psychiatry,SSCI/SCIE/SCI
Indian Journal of Public Health,SSCI/SCIE/SCI
INDOGERMANISCHE FORSCHUNGEN,SSCI/SCI/AHCI
Information & Culture,SSCI/SCI/AHCI
INFORMATION & MANAGEMENT,SSCI/SCIE/SCI
INFORMATION PROCESSING & MANAGEMENT,SSCI/SCIE/SCI
INFORMATION TECHNOLOGY AND LIBRARIES,SSCI/SCIE/SCI
INFORMS Journal on Applied Analytics,SSCI/SCIE/SCI
Injury Epidemiology,SSCI/SCIE/SCI
INJURY PREVENTION,SSCI/SCIE/SCI
Innovation in Aging,SSCI/SCIE/SCI
INQUIRY-AN INTERDISCIPLINARY JOURNAL OF PHILOSOPHY,SSCI/SCI/AHCI
